Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
1714,7/7/2022,16th Ave SW & SW Barton St,T1-KJ-0707,Snowboard,,70 Days,9/15/2022,Yes,
1719,7/21/2022,Green Lake Park,T1-JL-0721,"Camo tent, red sleeping bag, black pants, gray sweat pants, blue jacket",,70 Days,9/29/2022,Yes,
1716,7/22/2022,Myrtle Edwards Park,T1-KJ-0722,"Green white Andover Sundome tent, Green GI issued type duffel bag with misc bedding and clothing items",,70 Days,9/30/2022,Yes,
1720,7/22/2022,N 95th St from Aurora Ave N & Linden Ave N,T1-JL-0722,"Blue black sleeping bag, green backpack w/2 phone chargers, pair of sunglasses black, pair of red glasses, green bag w/black small heater, black electronic box, black surge protector cord",,70 Days,9/30/2022,Yes,
1715,7/23/2022,3rd Ave from Cherry to James,T1-KQR-0723,Green and Brown ForceATT tent with poles,,70 Days,10/1/2022,Yes,
1717,7/25/2022,Cal Anderson Park,T1-KJ-0725,"Green brown sleeping bag, small yellow backpack with misc clothing, green gray ozark tent",,70 Days,10/3/2022,No,
1718,7/25/2022,Pratt Park,T2-KJ-0725,"Green grey Colman tent, Blue ikea duffel bag w/misc clothing, red suitcase w/misc clothing and accessories, white hard hat, black trash bag w/clothing items, hats and misc accessories",,70 Days,10/3/2022,Yes,
1724,8/1/2022,Lakewood Park,T1-KJ-0801,"Blue grey golden bear tent, Black white pink duffle bag w/misc clothing & personal hygiene, 4 Black backpacks w/misc clothing & personal hygiene, Blue tote with jumper cables & misc books. Multi colored backpack w/misc clothing & shoes. Pair of lepard print shoes with pink stripes ""And1"" brand",,70 Days,10/10/2022,Yes,
1722,8/2/2022,Denny Blaine Park,TI-KJ-0802,"Red maroon tent, Green black Eddie Bauer duffle bag w/misc clothing, cell phone selfie light and personal hygiene. Reusable goodwill bag w/misc clothing and personal hygiene.  Pair of brown keen boots size 12",,70 Days,10/11/2022,No,
1723,8/2/2022,6th Ave & Cherry St,T2-KJ-0802,"Green grey Ozark trail tent, Green white bed sheet",,70 Days,10/11/2022,Yes,
1721,8/3/2022,Judkins Park,T1-KQR-0803,"Unimom Minuet breast pump, bag of diapers inside black grey tote bag, 2 blue wicker chairs and 1 metal lawn chair",,70 Days,10/12/2022,Yes,
1725,8/4/2022,Belmont Ave E & E Olive Way,"T4-KJ-0804
[Name Withheld] [Phone # Withheld]","Opened pack of disposable face shields, spray bottle, box of coleman 6 piece cookware set",,70 Days,10/13/2022,Yes,
1726,8/9/2022,Poplar Pl S & S Dean St,T1-KJ-0809,Sinare Bike - Electric,1,70 Days,10/18/2022,Yes,
1727,8/9/2022,Cal Anderson Park,T1-KQR-0809,"Black box with yellow lid filled with misc bike parts, Light blue black bike with flat rear tire",1,70 Days,10/18/2022,Yes,
1728,8/10/2022,West Crest Park,T1-KQR-0810,Blue grey Colman tent w/poles,,70 Days,10/19/2022,Yes,
1729,8/11/2022,S Dearborn St & I-5 Vicinity,[Name Withheld],"2 wheel carts, Rigid pro pack shovac, LG Tv, Blue black duffel bag w/various tools",,70 Days,10/20/2022,No,
1730,8/15/2022,Poplar Pl S btwn S Dean & S Charles St,T1-KQR-0815,"Colman blue grey GO! Tent w/poles, Grey blanket, misc paperwork, 1 pair Black Nike tennis shoes, Black dress, Green Columbia jacket w/hood, Jennifer Moore black sweat pants, Wild Fable black style baseball cap, Black white stripe long sleeve shirt",,70 Days,10/24/2022,Yes,
1732,8/22/2022,10th Ave S & S Dearborn St Vicinity,T1-KJ-0822,"Walking cane, Crow bar, Hand shovel, Spot light, A/C charging cord",,70 Days,10/31/2022,Yes,
1733,8/22/2022,10th Ave S & S Dearborn St Vicinity,T2-KJ-0822,Blue black Colman tent,,70 Days,10/31/2022,Yes,
1734,8/23/2022,N 120th  St & Stone Ave N (Puetz Golf),T5-KJ-0823,Wheelchair,,70 Days,11/1/2022,Yes,
1735,8/23/2022,N 120th  St & Stone Ave N (Puetz Golf),T7-KJ-0823,"Black backpack w/contents of painting matierals, various pictures, 3-medication bottles for Baily Jones, various eating utensils and plates",,70 Days,11/1/2022,Yes,
1736,8/23/2022,N 120th  St & Stone Ave N (Puetz Golf),T18-KJ-0823,"Grizzly tarp (8 x 10) in snipping plastic, Green sleeping bag in snipping plastic",,70 Days,11/1/2022,Yes,
1731,8/24/2022,Urban Triangle Park Westlake Ave & Lenora,T1-TH-0824,"Red Tommy Helfinger bag, Green grey Wakeman Tent, Blue swiss gear backpack, Gray blankey",,70 Days,11/2/2022,Yes,
